,순번,본부명,소방서,주소,전화번호,FAX,경도,위도
49,50,인천소방본부,계양소방서,인천광역시  계양구 장제로 774(계산동),032-650-5611,032-432-0550,126.7355662,37.53717795
50,51,인천소방본부,미추홀소방서,인천광역시  남구 인하로 190(주안동),032-870-3216,032-461-1197,126.668983,37.4483837
51,52,인천소방본부,공단소방서,인천광역시  남동구 남동서로 208(고잔동),032-723-5512,032-579-3119,126.6928886,37.40822323
52,53,인천소방본부,남동소방서,인천광역시  남동구 인주대로 714(구월동),032-870-5210,032-764-7109,126.7168919,37.44888063
53,54,인천소방본부,부평소방서,인천광역시  부평구 부평대로 324(갈산동),032-723-5310,032-766-2119,126.7221493,37.52022579
54,55,인천소방본부,서부소방서,인천광역시  서구 서곶로 292(심곡동),032-723-5440,032-422-0819,126.6771799,37.54329302
55,56,인천소방본부,송도소방서,인천광역시  연수구 첨단대로60번길 15(송도동),032-810-6609,032-506-1190,126.6515903,37.36723178
56,57,인천소방본부,중부소방서,인천광역시  중구 인중로 204(항동),032-870-5115,032-362-1991,126.6225735,37.47022508
57,58,인천소방본부,영종소방서,인천광역시  중구 중구 제2터미널대로 268(운서동),032-727-6110,032-519-1190,126.4147146,37.4860202
58,59,대전소방본부,대덕소방서,대전광역시 대덕구 계족로 682,042-270-1514,042-270-1560,127.4295137,36.37241526
59,60,대전소방본부,동부소방서,대전광역시 동구 계족로 300,042-270-1314,042-270-1360,127.4376715,36.33909321
60,61,대전소방본부,둔산소방서,대전광역시 서구 갈마중로 15,042-270-1413,042-270-1460,127.3711211,36.3478807
61,62,대전소방본부,서부소방서,대전 서구 복수서로 67,042-270-1713,042-270-1960,127.372395,36.309255
62,63,대전소방본부,유성소방서,대전광역시 유성구 대덕대로 516,042-270-1613,042-270-1660,127.3790584,36.37893089
63,64,울산소방본부,남부소방서,울산광역시 남구 삼산중로 149,052-210-4720,052-210-4719,129.3354151,35.54714069
64,65,울산소방본부,동부소방서,울산광역시 동구 꽃바위2가길 9,052-279-6320,052-279-6319,129.4125849,35.48233431
65,66,울산소방본부,북부소방서,울산광역시 북구 화동로 178,052-229-8001,052-229-8019,129.370126,35.60678452
66,67,울산소방본부,온산소방서,울산광역시 울주군 온산읍 덕신로 232,052-241-6620,052-241-6619,129.3066707,35.43336504
67,68,세종소방본부,중부소방서,울산광역시 중구 종가로 205,052-210-4423,052-210-4419,129.2993104,35.5629508
68,69,세종소방본부,세종소방서,세종특별자치시 절재로 301(어진동),044-300-6119,044-863-1018,127.2736614,36.50628328
69,70,세종소방본부,조치원소방서,세종특별자치시 조치원읍 세종로 2439,044-300-8119,044-862-1995,127.2889018,36.60478824
70,71,경기재난안전본부,가평소방서,경기도 가평군 가평읍 가화로36,031-580-0212,031-2808-585,127.5164241,37.82332209
71,72,경기재난안전본부,고양소방서,경기도 고양시 덕양구 고양대로 1342,031-931-0212,031-8018-3519,126.8335317,37.65481752
72,73,경기재난안전본부,일산소방서,경기도 고양시 일산동구 중앙로 1325,031-930-0212,031-8018-3559,126.7697183,37.66331495
73,74,경기재난안전본부,과천소방서,경기도 과천시 통영로 12,02-331-4212,031-8018-3529,126.9906185,37.42851661
74,75,경기재난안전본부,광명소방서,경기도 광명시 금하로 472,02-2610-3213,031-8018-3509,126.8850789,37.44874268
75,76,경기재난안전본부,광주소방서,경기도 광주시 초월읍 무들로 112,031-799-2212,031-8018-3539,127.2995864,37.38558036
76,77,경기재난안전본부,구리소방서,경기도 구리시 아차산로 487번길 46,031-570-6214,031-747-0119,127.1278343,37.59829376
77,78,경기재난안전본부,군포소방서,경기도 군포시 고산로 429,031-479-8212,없음,126.927122,37.35257191
78,79,경기재난안전본부,김포소방서,경기도 김포시 감암로 111,031-980-4212,031-757-0119,126.7085133,37.64156734
79,80,경기재난안전본부,남양주소방서,경기도 남양주시 평내로 25,031-590-0212,031-720-0509,127.2321523,37.64332485
80,81,경기재난안전본부,동두천소방서,경기도 동두천시 지행로 6(지행동),031-830-5504,031-759-0119,127.0480279,37.89179394
81,82,경기재난안전본부,부천소방서,경기도 부천시 원미구 신흥로 115,031-650-4214,031-754-0003,126.778016,37.4940236
82,83,경기재난안전본부,분당소방서,경기도 성남시 분당구 양현로 14,031-8018-3212,031-280-8521,127.1194864,37.38603429
83,84,경기재난안전본부,성남소방서,경기도 성남시 수정구 제일로 111,031-720-0212,031-280-8528,127.1334372,37.43644091
84,85,경기재난안전본부,수원소방서,경기도 수원시 장안구 정자천로 189번길 12,031-8012-9212,031-280-8525,126.9960063,37.29722711
85,86,경기재난안전본부,수원남부소방서,경기도 수원시 권선구 동수원로 286 (권선동),031-6398324,031-280-8529,127.0362316,37.25426867
86,87,경기재난안전본부,시흥소방서,경기도 시흥시 정왕신길로 206 (정왕동),031-310-0212,031-280-8523,126.7402845,37.34921761
87,88,경기재난안전본부,안산소방서,경기도 안산시 단원구 화랑로 407,031-470-7212,031-280-8527,126.8329589,37.3217359
88,89,경기재난안전본부,안성소방서,경기도 안성시 미양로 855,031-678-4212,031-280-8526,127.2558365,37.00016017
89,90,경기재난안전본부,안양소방서,경기도 안양시 동안구 관평로212번길 32(관양동),031-470-0119,031-280-8520,126.960614,37.3958645
90,91,경기재난안전본부,양주소방서,경기도 양주시 백석읍 꿈나무로 156,031-849-8212,031-280-8524,126.9895291,37.79580387
91,92,경기재난안전본부,양평소방서,경기도 양평군 양평읍 경강로 2047,031-770-0212,031-280-8522,127.5073409,37.5003392
92,93,경기북부소방재난본부,여주소방서,경기도 여주시 우암로 110,031-887-7214,031-310-0529,127.6259667,37.29139557
93,94,경기북부소방재난본부,연천소방서,경기도 연천군 전곡읍 평화로 892,031-830-0212,031-280-8694,127.068954,38.04812447
94,95,경기북부소방재난본부,오산소방서,경기도 오산시 청학로 67,031-8059-7212,031-310-0519,127.0646221,37.15508162
95,96,경기북부소방재난본부,용인소방서,경기도 용인시 처인구 명지로 45,031-8021-0212,031-310-0509,127.1901629,37.23250064
96,97,경기북부소방재난본부,의왕소방서,경기도 의왕시 오봉로 9,031-596-0214,031-280-8607,126.9747372,37.34415968
97,98,경기북부소방재난본부,의정부소방서,경기도 의정부시 의정로 48,031-849-7212,031-280-8611,127.0355349,37.73693986
98,99,경기북부소방재난본부,이천소방서,경기도 이천시 경충대로 2739,031-645-5212,031-280-8615,127.4312902,37.28209273
99,100,경기북부소방재난본부,파주소방서,경기도 파주시 파주읍 통일로1564,031-956-9212,031-280-8608,126.7894597,37.84748606
100,101,경기북부소방재난본부,송탄소방서,경기도 평택시 경기대로 1627 (신장동),031-685-8114,031-280-8613,127.062469,37.0897815
101,102,경기북부소방재난본부,평택소방서,경기도 평택시 중앙로 273,031-8053-6114,031-280-8609,127.112747,36.990465
102,103,경기북부소방재난본부,포천소방서,경기도 포천시 군내면 호국로 1538,031-538-5212,031-280-8606,127.202552,37.89137505
103,104,경기북부소방재난본부,하남소방서,경기도 하남시 대청로 76 (신장동),031-799-4212,031-280-8614,127.2204082,37.53985597
104,105,경기북부소방재난본부,화성소방서,경기도 화성시 향남읍 향남로 399,031-8012-6212,031-280-8610,126.9207035,37.13079956
105,106,강원소방본부,강릉소방서,강원도 강릉시 선수촌로 64-28(홍제동),033-643-3119,043-767-4119,128.8729919,37.75727734
106,107,강원소방본부,고성소방서,강원도 고성군 간성읍 수성로 37-11,033-681-1119,043-773-0119,128.4740919,38.37685653
107,108,강원소방본부,동해소방서,강원도 동해시 천곡로 120,033-533-2119,043-740-7019 ,129.1184056,37.52448511
108,109,강원소방본부,삼척소방서,강원도 삼척시 봉황로 101,033-572-9119,043-730-1819,129.1707357,37.4468609
109,110,강원소방본부,속초소방서,강원도 속초시 미시령로 3226,033-636-2119,043-880-0199,128.5602444,38.20328103
110,111,강원소방본부,양구소방서,강원도 양구군 양구읍 중심로 92,033-482-0119,043-641-7139,127.9939629,38.09907225
111,112,강원소방본부,양양소방서,강원도 양양군 양양읍 남대천로 33,033-671-0119,043-830-0123,128.6225161,38.06741326
112,113,강원소방본부,영월소방서,강원도 영월군 영월읍 영월로 1863,033-373-1119,043-539-8129,128.4584193,37.18545193
113,114,강원소방본부,원주소방서,강원도 원주시 동부순환로 201,033-763-4119,043-251-0115,127.9727976,37.33380254
114,115,강원소방본부,인제소방서,강원도 인제군 인제읍 비봉로 44번길 71,033-460-9211,043-249-9265,128.1686327,38.06131629
115,116,강원소방본부,정선소방서,강원도 정선군 정선읍 녹송로 27,033-563-0119,043-841-3119,128.6718709,37.37965783
116,117,강원소방본부,철원소방서,강원도 철원군 갈말읍 태봉로 1504,033-452-7119,043-760-0219,127.3242107,38.18584385
117,118,강원소방본부,춘천소방서,강원도 춘천시 후석로 446,033-241-0119,043-760-0239,127.7429403,37.88931085
118,119,강원소방본부,태백소방서,강원도 태백시 태백로 1120,033-553-1119,043-767-4219,128.9894218,37.15812344
119,120,강원소방본부,평창소방서,강원도 평창군 평창읍 살구실길 10,033-339-9118,043-760-0239,128.3893011,37.37813438
120,121,강원소방본부,홍천소방서,강원도 홍천군 홍천읍 공작산로 99,033-432-3119,043-773-0259,127.9022899,37.6913303
121,122,강원소방본부,횡성소방서,강원도 횡성군 횡성읍 문예로 157,033-343-0119,043-773-0219,127.973954,37.48538226
122,123,강원소방본부,화천소방서,강원도 화천군 위라리길 47,033-442-1119,043-773-0239,127.7133937,38.09780603
123,124,충북소방본부,괴산소방서,충청북도 괴산군 괴산읍 괴강로 69,043-760-0113,043-760-0129,127.8014309,36.80758447
124,125,충북소방본부,단양소방서,충청북도 단양군 단양읍 삼봉로 421-56,043-767-4113,043-767-4119,128.356695,36.988916
125,126,충북소방본부,보은소방서,충청북도 보은군 보은읍 남부로 4415,043-773-0113,043-773-0119,127.7220289,36.47700109
126,127,충북소방본부,영동소방서,충청북도 영동군 영동읍 영동황간로 174,043-740-7013,043-740-7019 ,127.7890668,36.16564176
127,128,충북소방본부,옥천소방서,충청북도 옥천군 옥천읍 중앙로 132,043-730-1813,043-730-1819,127.5741997,36.30796255
128,129,충북소방본부,음성소방서,충청북도 음성군 금왕읍 응천서길 11,043-880-0113,043-880-0199,127.5949955,36.98932772
129,130,충북소방본부,제천소방서,충청북도 제천시 신죽하로164,043-646-0119,043-641-7139,128.212746,37.1606731
130,131,충북소방본부,증평소방서,충청북도 증평군 충청대로 1789,043-830-0113,043-830-0123,127.5837547,36.78784677
131,132,충북소방본부,진천소방서,충청북도 진천군 진천읍 진광로 93,043-539-8113,043-539-8129,127.4412016,36.87264927
132,133,충북소방본부,청주동부소방서,충청북도 청주시 상당구 영운로 61,043-251-0114,043-251-0115,127.4950938,36.62093362
133,134,충북소방본부,청주서부소방서,충청북도 청주시 흥덕구 풍산로 64,043-249-9113,043-249-9265,127.4445085,36.62630833
134,135,충북소방본부,충주소방서,충청북도 충주시 목행산단 7로 9,043-841-3225,043-841-3119,127.920238,37.0031439
135,136,충남소방본부,계룡소방서,충청남도 계룡시 두마면 사계로 46,041-540-5212,042-540-5219,127.2649247,36.26819992
136,137,충남소방본부,공주소방서,충청남도 공주시 무령로 55,041-851-0212,041-851-0219,127.1079685,36.45926408
137,138,충남소방본부,금산소방서,충청남도 금산군 금산읍 삼풍로 2,041-750-1212,041-750-1229,127.4801124,36.09993676
138,139,충남소방본부,논산소방서,충청남도 논산시 대학로 17,041-730-0212,041-730-0219,127.1003823,36.17825946
139,140,충남소방본부,당진소방서,충청남도 당진시 역천로 838,041-350-5212,041-350-5219,126.6177956,36.8860263
140,141,충남소방본부,보령소방서,충청남도 보령시 성주산로 63,041-930-0212,041-930-0219,126.6083911,36.33338033
141,142,충남소방본부,부여소방서,충청남도 부여군 규암면 계백로 17,041-830-0212,041-830-0219,126.8822288,36.27503375
142,143,충남소방본부,서산소방서,충청남도 서산시 호수공원14로 26-4,041-689-0212,041-689-0219,126.4453398,36.77309461
143,144,충남소방본부,서천소방서,충청남도 서천군 장항읍 장항로 37,041-955-0212,041-955-0219,126.6830256,36.01349788
144,145,충남소방본부,아산소방서,충청남도 아산시 모종로 77,041-538-0212,041-538-0219,127.0257517,36.78605183
145,146,충남소방본부,예산소방서,충청남도 예산군 오가면 오가중앙로 111,041-330-4212,041-330-4219,126.8018097,36.68667705
146,147,충남소방본부,천안동남소방서,충청남도 천안시 동남구 천안대로 580,041-570-0212,041-570-0219,127.1649943,36.79993704
147,148,충남소방본부,천안서북소방서,충청남도 천안시 서북구 직산읍 4산단 2길 32,041-360-0212,041-360-0219,127.1161217,36.86257918
148,149,충남소방본부,청양소방서,충청남도 청양군 청양읍 충절로 1187,041-940-7212,041-940-7219,126.7924559,36.45164356
149,150,충남소방본부,태안소방서,충청남도 태안군 태안읍 동백로 100,041-671-0212,041-671-0219,126.286116,36.75802322
150,151,충남소방본부,홍성소방서,충청남도 홍성군 홍성읍 충절로 741,041-630-0212,041-630-0219,126.6959198,36.58510129
151,152,전북소방본부,고창소방서,전라북도 고창군 고창읍 녹두로 1294,063-560-1251,063-289-1122,126.6877943,35.43276307
152,153,전북소방본부,군산소방서,전라북도 군산시 번영로 308,063-450-0251,063-289-1042,126.7510639,35.96284796
153,154,전북소방본부,김제소방서,전라북도 김제시 벽성로 278,063-540-4251,063-289-1102,126.8700108,35.79887263
154,155,전북소방본부,남원소방서,전라북도 남원시 요천로 1965,063-630-8251,063-289-1092,127.4161952,35.43679361
155,156,전북소방본부,부안소방서,전라북도 부안군 행안면 변산로 86,063-580-1251,063-289-1132,126.7118492,35.72978925
156,157,전북소방본부,순창소방서,전라북도 순창군 순창읍 교성로 24,063-653-7119,063-289-1096,127.1339169,35.37205223
157,158,전북소방본부,완주소방서,전라북도 완주군 삼례읍 삼봉로 518,063-290-0251,063-289-1112,127.1241567,35.92637339
158,159,전북소방본부,익산소방서,전라북도 익산시 무왕로 1338,063-839-3251,063-289-1062,127.0051502,35.96227455
159,160,전북소방본부,무진장소방서,전라북도 장수군 장계면 육십령로 136,063-350-6251,063-289-1142,127.5895909,35.73224225
160,161,전북소방본부,전주덕진소방서,전라북도 전주시 덕진구 백제대로 611,063-250-4251,063-289-1012,127.1369769,35.84231814
161,162,전북소방본부,전주완산소방서,전라북도 전주시 완산구 거마평로 73,063-220-4251,063-289-1022,127.1162973,35.79890503
162,163,전북소방본부,정읍소방서,전라북도 정읍시 서부산업도로 507-5,063-570-1251,063-289-1082,126.8586449,35.58810885
163,164,전남소방본부,강진소방서,전라남도 강진군 군동면 중앙로 223,061-430-0900,061-430-0740,126.7808793,34.64328878
164,165,전남소방본부,고흥소방서,전라남도 고흥군 풍양면 고흥로 1330,061-840-0900,061-840-0740,127.2559334,34.58143771
165,166,전남소방본부,광양소방서,전라남도 광양시 중마중앙로 109,061-798-0900,061-798-0740,127.6976038,34.93976323
166,167,전남소방본부,나주소방서,전라남도 나주시 예향로 4201,061-330-0900,061-330-0740,126.7094886,35.0278716
167,168,전남소방본부,담양소방서,전라남도 담양군 담양읍 추성로 1232,061-380-0900,061-380-0740,126.9739316,35.31835271
168,169,전남소방본부,목포소방서,전라남도 목포시 삼향천로 110,061-280-0900,061-280-0740,126.4302379,34.80998555
169,170,전남소방본부,무안소방서,전라남도 무안군 무안읍 공항로 133,061-450-0900,061-450-0740,126.46659,34.9947478
170,171,전남소방본부,보성소방서,전라남도 보성군 벌교읍 녹색로 5247,061-859-0900,061-859-0740,127.3154886,34.83846528
171,172,전남소방본부,순천소방서,전라남도 순천시 서면 삼산로 281,061-750-0900,061-750-0740,127.5040044,34.9866292
172,173,전남소방본부,여수소방서,전라남도 여수시 망마로 20,061-680-0900,061-680-0740,127.6650521,34.7598782
173,174,전남소방본부,영광소방서,전라남도 영광군 영광읍 함영로 3508,061-350-0900,061-350-0740,126.5090749,35.26320853
174,175,전남소방본부,영암소방서,전라남도 영암군 삼호읍 나불로 192,061-460-0900,061-460-0740,126.4390091,34.7669345
175,176,전남소방본부,장성소방서,전라남도 장성군 장성읍 단풍로 204,061-360-0900,061-360-0740,126.7997299,35.32048449
176,177,전남소방본부,함평소방서,전라남도 함평군 대동면 학동로386,061-338-0900,061-338-0740,126.5389743,35.0605467
177,178,전남소방본부,해남소방서,전라남도 해남군 해남읍 교육청길 82,061-530-0900,061-530-0740,126.6077377,34.5664148
178,179,전남소방본부,장흥소방서,전라남도 장흥군 장흥읍 원도리 215,061-850-0900,없음,126.91565,34.6890588
179,180,전남소방본부,화순소방서,전라남도 화순군 화순읍 학포로 2750,061-379-0900,061-379-0740,126.971392,35.05068896
180,181,경북소방본부,고령소방서,경상북도 고령군 고령읍 벽화길 18,054-954-4119,054-830-7816,128.26889,128.26889
181,182,경북소방본부,구미소방서,경상북도 구미시 수출대로 112,054-461-1119,054-372-6019,128.3765344,36.11054013
182,183,경북소방본부,김천소방서,경상북도 김천시 강변로 219(양천동),054-436-1119,054-370-8269,128.1225751,36.10678355
183,184,경북소방본부,문경소방서,경상북도 문경시 중앙로 305,054-559-1813,054-372-7119,128.2097157,36.6103473
184,185,경북소방본부,상주소방서,경상북도 상주시 상산로 322,054-530-3714,054-850-6759,128.1595403,36.41962164
185,186,경북소방본부,성주소방서,경상북도 성주군 성주읍 주산로 193,054-933-5119,054-873-5119,128.3048742,35.9339959
186,187,경북소방본부,안동소방서,경상북도 안동시 육사로 301,054-855-8119,054-973-1149,128.7372919,36.56103702
187,188,경북소방본부,영덕소방서,경상북도 영덕군 영덕읍 경동로 8401,054-730-1512,054-976-7118,129.3710098,36.41670829
188,189,경북소방본부,영주소방서,경상북도 영주시 문수면 적서로 448번길 17,054-632-1190,054-976-0119,128.6331008,36.79199598
189,190,경북소방본부,영천소방서,경상북도 영천시 호국로 187,054-336-8000,054-974-3019,128.9578871,35.97792247
190,191,경북소방본부,울진소방서,경상북도 울진군 울진읍 울진북로 508,054-780-1312,054-970-2849,129.3946059,36.9934246
191,192,경북소방본부,예천소방서,경상북도 예천군 예천읍 양궁로 61-12(청복리),054-650-3414,054-971-6119,128.4634122,36.64814977
192,193,경북소방본부,의성소방서,경상북도 의성군 봉양면 경상북도대로 4741,054-830-7712,054-276-8648,128.5989758,36.31009765
193,194,경북소방본부,청도소방서,경상북도 청도군 청도읍 중앙로 192-34,054-370-8212,054-288-0909,128.7631253,35.64821118
194,195,경북소방본부,칠곡소방서,경상북도 칠곡군 기산면 칠곡대로 1216,054-976-7001,054-282-2724,128.3880578,35.99565724
195,196,경북소방본부,포항남부소방서,경상북도 포항시 남구 동해안로 5890,054-284-4117,054-291-1189,129.4189309,35.99338337
196,197,경북소방본부,포항북부소방서,경상북도 포항시 북구 중앙로 332,054-260-2130,054-273-1184,129.3661501,36.04247011
197,198,경북소방본부,경주소방서,경상북도 경주시 알천남로 276,054-778-0549,054-778-0529,129.2284195,35.84406879
198,199,경북소방본부,경산소방서,경상북도 경산시 압량면 김유신로 12,053-811-1119,053-819-6249,128.769705,35.8384781
199,200,경남소방본부,거제소방서,경상남도 거제시 진목로 1,055-689-9212,055-689-9219,128.6861629,34.89616008
200,201,경남소방본부,거창소방서,경상남도 거창군 거창읍 거함대로 3324,055-940-9212,055-940-9219,127.9233187,35.67778535
201,202,경남소방본부,고성소방서,경상남도 고성군 고성읍 남해안대로 2670,055-670-9212,055-670-9219,128.3310662,34.98109339
202,203,경남소방본부,김해동부소방서,경상남도 김해시 김해대로 2507,055-320-9212,055-320-9219,128.900964,35.2289504
203,204,경남소방본부,김해서부소방서,경상남도 김해시 장유로 341,055-344-9212,055-344-9219,128.8172778,35.1965397
204,205,경남소방본부,남해소방서,경상남도 남해군 남해읍 스포츠로 81,055-860-9212,055-860-9219,127.8926104,34.82958171
205,206,경남소방본부,밀양소방서,경상남도 밀양시 밀양대로 1760,055-350-9212,055-350-9219,128.7534054,35.48312367
206,207,경남소방본부,사천소방서,경상남도 사천시 남일로 29,055-830-9212,055-830-9219,128.0800012,34.93343156
207,208,경남소방본부,산청소방서,경상남도 산청군 산청읍 중앙로 76-7,055-970-9212,055-970-9219,127.883835,35.41507747
208,209,경남소방본부,양산소방서,경상남도 양산시 물금읍 황산로 719,055-379-9212,055-379-9219,129.0104614,35.33424143
209,210,경남소방본부,의령소방서,경상남도 의령군 의령읍 의병로 108-17,055-570-9212,055-570-9219,128.2481875,35.31927538
210,211,경남소방본부,진주소방서,경상남도 진주시 동진로 249,055-760-9212,055-760-9219,128.1182918,35.18061658
211,212,경남소방본부,창녕소방서,경상남도 창녕군 대지면 우포2로 1097,055-259-9212,055-259-9219,128.4792035,35.55036333
212,213,창원소방본부,마산소방서,경상남도 창원시 마산합포구 제2부두로 55,055-249-9212,055-249-9219,128.5747952,35.19819744
213,214,창원소방본부,진해소방서,경상남도 창원시 진해구 진해대로 1101,055-548-9212,055-548-9219,128.7106316,35.13287275
214,215,창원소방본부,성산소방서,경상남도 창원시 의창구 상남로 165,055-211-9212,055-211-9219,128.685603,35.2274944
215,216,경남소방본부,통영소방서,경상남도 통영시 광도면 죽림4로 49,055-640-9212,055-640-9219,128.4195656,34.88383814
216,217,경남소방본부,하동소방서,경상남도 하동군 금성면 금성로 15,055-880-9212,055-880-9219,127.7955625,34.97786487
217,218,경남소방본부,함안소방서,경상남도 함안군 가야읍 선왕길 59,055-580-9212,055-580-9219,128.3999857,35.28620182
